dataset,samples,dimensions,outliers,clusters GT,clusters HDBSCAN,clusters kmeans--,clusters SDOclust,Sil HDBSCAN,Sil kmeans--,Sil SDOclust,Rand HDBSCAN,Rand kmeans--,Rand SDOclust
c1,5000,4,0,13,=,=,=,0.75,0.49,0.78,1.0,0.77,1.0
c2,5000,16,0,10,=,=,=,0.86,0.46,0.86,1.0,0.67,1.0
c3,5000,16,0,10,=,-9,=,0.84,nan,0.84,1.0,0.0,1.0
c4,5000,5,0,13,=,=,=,0.79,0.61,0.79,1.0,0.81,1.0
c5,5000,17,0,13,=,=,=,0.87,0.77,0.87,1.0,0.97,1.0
c6,5000,13,0,12,=,=,=,0.84,0.5,0.84,1.0,0.78,1.0
c7,5000,23,0,10,=,=,=,0.84,0.42,0.84,1.0,0.76,1.0
c8,5000,17,0,14,=,=,=,0.87,0.51,0.87,1.0,0.72,1.0
c9,5000,20,0,14,=,-13,=,0.86,nan,0.86,1.0,0.0,1.0
c10,5000,20,0,11,=,=,=,0.84,0.48,0.84,1.0,0.69,1.0
c11,5000,22,0,14,=,-13,=,0.88,nan,0.88,1.0,0.0,1.0
c12,5000,23,0,11,=,=,=,0.83,0.55,0.83,1.0,0.82,1.0
c13,5000,20,0,14,=,=,=,0.87,0.52,0.87,1.0,0.76,1.0
c14,5000,15,0,10,=,=,=,0.84,0.39,0.84,1.0,0.66,1.0
c15,5000,11,0,12,=,=,=,0.8,0.34,0.8,1.0,0.61,1.0
c16,5000,4,0,12,=,=,=,0.7,0.51,0.72,1.0,0.8,1.0
c17,5000,3,0,14,-1,=,-2,0.81,0.69,0.81,0.99,0.92,0.98
c18,5000,23,0,13,=,=,=,0.87,0.56,0.87,1.0,0.77,1.0
c19,5000,3,0,12,=,=,=,0.72,0.59,0.73,1.0,0.85,1.0
c20,5000,10,0,11,=,=,=,0.82,0.52,0.82,1.0,0.74,1.0
d3,2026,3,0,9,=,=,=,0.95,0.95,0.95,1.0,1.0,1.0
d4,2701,4,0,9,=,=,=,0.95,0.45,0.95,1.0,0.44,1.0
d5,3376,5,0,9,=,=,=,0.92,0.68,0.92,1.0,0.75,1.0
d6,4051,6,0,9,=,=,=,0.93,0.69,0.93,1.0,0.85,1.0
d7,4726,7,0,9,=,=,=,0.9,0.51,0.9,1.0,0.64,1.0
d8,5401,8,0,9,=,=,=,0.93,0.17,0.93,1.0,0.43,1.0
d9,6076,9,0,9,=,=,=,0.92,0.77,0.92,1.0,0.85,1.0
d10,6751,10,0,9,=,=,=,0.92,0.74,0.92,1.0,0.85,1.0
d11,7426,11,0,9,=,=,=,0.93,0.74,0.93,1.0,0.85,1.0
d12,8101,12,0,9,=,=,=,0.92,0.55,0.91,1.0,0.73,1.0
d13,8776,13,0,9,=,=,=,0.92,0.58,0.92,1.0,0.75,1.0
d14,9451,14,0,9,=,=,=,0.92,0.75,0.92,1.0,0.86,1.0
d15,10126,15,0,9,=,=,=,0.91,0.54,0.91,1.0,0.73,1.0
d32,1024,32,0,16,=,=,=,0.94,0.67,0.94,1.0,0.81,1.0
d64,1024,64,0,16,=,=,=,0.97,0.62,0.97,1.0,0.73,1.0
dc,1024,256,0,16,=,=,=,0.98,0.67,0.98,1.0,0.82,1.0
dq,1024,512,0,16,=,=,=,0.99,0.85,0.99,1.0,0.94,1.0
dk,1024,1024,0,16,=,=,=,0.99,0.66,0.99,1.0,0.82,1.0
f1,5000,5,0,6,+1,=,=,0.63,0.59,0.69,0.96,0.84,0.98
f2,5000,22,0,5,=,=,=,0.82,0.82,0.82,0.99,1.0,1.0
f3,5000,16,0,7,=,=,=,0.73,0.74,0.74,0.96,0.98,0.98
f4,5000,6,0,3,=,=,+2,0.88,0.88,0.73,1.0,1.0,0.91
f5,5000,11,0,6,=,=,+1,0.76,0.59,0.66,1.0,0.86,0.96
f6,5000,20,0,6,=,=,=,0.85,0.64,0.85,1.0,0.9,1.0
f7,5000,16,0,4,=,=,=,0.65,0.42,0.65,0.95,0.67,0.99
f8,5000,6,0,5,=,=,=,0.72,0.77,0.77,0.95,0.97,0.97
f9,5000,6,0,5,=,=,+2,0.79,0.64,0.58,1.0,0.86,0.95
f10,5000,8,0,5,=,=,=,0.57,0.5,0.59,0.8,0.81,0.95
f11,5000,4,0,5,+6,=,+2,0.06,0.48,0.62,0.64,0.82,0.9
f12,5000,3,0,3,=,=,=,0.82,0.82,0.82,1.0,1.0,1.0
f13,5000,7,0,3,=,=,=,0.74,0.74,0.74,1.0,1.0,1.0
f14,5000,9,0,3,=,=,+1,0.64,0.64,0.42,1.0,1.0,0.92
f15,5000,6,0,4,=,=,=,0.57,0.64,0.64,0.97,0.99,1.0
f16,5000,4,0,7,+1,=,=,0.69,0.67,0.84,0.95,0.91,1.0
f17,5000,11,0,4,=,=,+1,0.5,0.37,0.5,0.77,0.61,0.92
f18,5000,17,0,5,=,=,=,0.87,0.54,0.88,1.0,0.8,1.0
f19,5000,11,0,6,=,=,=,0.86,0.86,0.86,1.0,1.0,1.0
f20,5000,13,0,7,=,=,=,0.78,0.54,0.78,0.97,0.77,0.98
h1,6048,12,1048,5,+3,=,=,0.74,0.9,0.99,0.63,0.9,1.0
h2,6904,3,1904,6,+49,=,=,0.51,0.71,0.99,0.31,0.5,1.0
h3,6376,18,1376,6,+4,=,=,0.67,0.82,0.99,0.47,0.85,1.0
h4,5858,3,858,4,+19,=,=,0.78,0.91,0.98,0.74,0.87,1.0
h5,6757,21,1757,5,+3,=,=,0.58,0.74,0.99,0.39,0.81,1.0
h6,6001,10,1001,7,+5,=,=,0.73,0.89,0.98,0.6,0.89,1.0
h7,6132,8,1132,6,+7,=,=,0.7,0.93,0.99,0.56,0.89,1.0
h8,6911,23,1911,6,+3,-5,=,0.55,-0.07,0.99,0.33,0.17,1.0
h9,6676,5,1676,6,+16,=,=,0.56,0.86,0.99,0.41,0.74,1.0
h10,6228,8,1228,5,+6,=,=,0.67,0.81,0.99,0.53,0.84,1.0
h11,6534,9,1534,5,+10,=,=,0.59,0.88,0.99,0.43,0.8,1.0
h12,6097,23,1097,5,+1,=,=,0.74,0.87,0.99,0.58,0.9,1.0
h13,6795,17,1795,3,+6,=,=,0.57,0.99,0.99,0.4,1.0,1.0
h14,6981,17,1981,5,+8,=,=,0.51,0.77,0.99,0.33,0.76,1.0
h15,6847,4,1847,7,+35,=,=,0.53,0.84,0.99,0.35,0.82,1.0
h16,6264,7,1264,4,+7,=,=,0.66,0.84,0.98,0.56,0.84,1.0
h17,6117,13,1117,7,+4,=,=,0.72,0.76,0.99,0.54,0.75,1.0
h18,6087,23,1087,5,+1,=,=,0.75,0.99,0.99,0.57,1.0,1.0
h19,6594,6,1594,4,+12,=,=,0.57,0.91,0.99,0.43,0.83,1.0
h20,6432,21,1432,7,+4,=,=,0.66,0.89,0.99,0.47,0.89,1.0
n1,5519,4,519,7,+5,=,=,0.84,0.81,0.97,0.83,0.83,1.0
n2,5464,22,464,4,+1,=,=,0.87,0.97,0.97,0.84,1.0,1.0
n3,5623,9,623,4,+2,=,=,0.84,0.98,0.98,0.79,1.0,1.0
n4,5457,6,457,5,+8,=,=,0.85,0.86,0.96,0.84,0.84,1.0
n5,5622,20,622,7,+1,=,=,0.84,0.9,0.98,0.75,0.94,1.0
n6,5288,23,288,6,=,=,=,0.9,0.85,0.96,0.91,0.94,1.0
n7,5469,18,469,4,+2,=,=,0.87,0.97,0.97,0.84,1.0,1.0
n8,5292,15,292,7,+2,=,=,0.9,0.96,0.96,0.91,1.0,1.0
n9,5364,13,364,5,=,=,=,0.89,0.9,0.97,0.88,0.97,1.0
n10,5669,12,669,6,+1,=,=,0.83,0.98,0.98,0.75,1.0,1.0
n11,5294,20,294,5,+1,=,=,0.9,0.97,0.97,0.91,1.0,1.0
n12,5252,16,252,4,+1,=,=,0.91,0.96,0.96,0.92,1.0,1.0
n13,5729,4,729,6,+12,=,=,0.79,0.92,0.98,0.73,0.9,1.0
n14,5722,6,722,3,+7,=,=,0.8,0.98,0.98,0.74,1.0,1.0
n15,5467,12,467,6,=,=,=,0.87,0.97,0.97,0.84,1.0,1.0
n16,5748,5,748,7,+8,=,=,0.78,0.83,0.97,0.74,0.87,1.0
n17,5566,10,566,6,+2,-5,=,0.84,-0.03,0.97,0.8,0.01,1.0
n18,5487,15,487,7,+2,-6,=,0.86,-0.07,0.97,0.83,0.03,1.0
n19,5674,4,674,3,+12,=,=,0.8,0.98,0.98,0.78,1.0,1.0
n20,5271,13,271,4,=,=,=,0.9,0.55,0.95,0.92,0.68,1.0
p1,5000,7,0,7,=,=,=,0.96,0.62,0.96,1.0,0.72,1.0
p2,5000,21,0,5,=,=,=,0.96,0.68,0.96,1.0,0.8,1.0
p3,5000,11,0,3,=,=,=,0.93,0.93,0.93,1.0,1.0,1.0
p4,5000,16,0,3,=,=,=,0.95,0.22,0.95,1.0,0.39,1.0
p5,5000,5,0,7,=,=,=,0.93,0.8,0.93,1.0,0.92,1.0
p6,5000,17,0,4,=,=,=,0.94,0.94,0.94,1.0,1.0,1.0
p7,5000,21,0,3,=,=,=,0.93,0.93,0.93,1.0,1.0,1.0
p8,5000,6,0,6,=,=,=,0.94,0.64,0.94,1.0,0.77,1.0
p9,5000,11,0,6,=,=,=,0.96,0.63,0.96,1.0,0.74,1.0
p10,5000,5,0,7,=,=,=,0.95,0.63,0.95,1.0,0.68,1.0
p11,5000,19,0,7,=,=,=,0.95,0.55,0.95,1.0,0.75,1.0
p12,5000,17,0,5,=,=,=,0.96,0.59,0.96,1.0,0.77,1.0
p13,5000,15,0,5,=,=,=,0.96,0.42,0.96,1.0,0.57,1.0
p14,5000,22,0,6,=,=,=,0.96,0.96,0.96,1.0,1.0,1.0
p15,5000,5,0,5,=,=,=,0.94,0.67,0.94,1.0,0.89,1.0
p16,5000,15,0,3,=,=,=,0.91,0.91,0.91,1.0,1.0,1.0
p17,5000,5,0,5,=,=,=,0.95,0.95,0.95,1.0,1.0,1.0
p18,5000,14,0,6,=,=,=,0.95,0.65,0.95,1.0,0.83,1.0
p19,5000,21,0,5,=,=,=,0.96,0.57,0.96,1.0,0.75,1.0
p20,5000,22,0,5,=,=,=,0.96,0.7,0.96,1.0,0.81,1.0
x1,5478,4,478,4,+8,=,=,0.73,0.82,0.94,0.83,0.83,1.0
x2,5397,6,397,5,+4,=,=,0.64,0.63,0.73,0.85,0.78,0.98
x3,5732,22,732,4,=,=,=,0.73,0.36,0.84,0.72,0.61,1.0
x4,5622,22,622,6,=,=,+1,0.73,0.83,0.77,0.86,0.99,0.96
x5,5306,15,306,3,+1,=,=,0.81,0.86,0.86,0.96,0.98,0.98
x6,5680,13,680,7,+2,=,=,0.75,0.49,0.89,0.81,0.59,0.99
x7,5563,9,563,6,+1,=,=,0.77,0.89,0.89,0.83,1.0,1.0
x8,5510,20,510,6,=,=,=,0.84,0.68,0.93,0.84,0.78,1.0
x9,5638,3,638,3,+12,=,=,0.66,0.71,0.9,0.62,0.53,0.99
x10,5701,17,701,7,+1,=,=,0.8,0.93,0.93,0.87,1.0,1.0
x11,5329,10,329,7,=,=,=,0.57,0.62,0.62,0.8,0.95,0.95
x12,5592,6,592,4,+5,=,=,0.73,0.92,0.92,0.85,1.0,1.0
x13,5695,15,695,6,+1,=,=,0.74,0.72,0.84,0.78,0.81,0.97
x14,5438,16,438,5,=,=,=,0.68,0.76,0.76,0.77,0.92,0.92
x15,5656,8,656,4,+5,=,=,0.8,0.95,0.95,0.84,1.0,1.0
x16,5272,19,272,3,=,=,+1,0.74,0.39,0.64,0.92,0.51,0.99
x17,5442,12,442,6,+1,=,=,0.81,0.68,0.88,0.85,0.71,0.98
x18,5688,22,688,7,+1,=,=,0.75,0.77,0.84,0.76,0.92,0.96
x19,5747,10,747,6,+1,=,=,0.68,0.81,0.81,0.73,0.97,0.97
x20,5486,21,486,4,=,=,=,0.76,0.78,0.78,0.82,0.97,0.97
